year,n_brand_years,mean_risk_score,any_support_share,risk_bearing_share,material_risk_share,direct_funded_share
2008,1,0.0,0.0,0.0,0.0,0.0
2010,1,0.0,0.0,0.0,0.0,0.0
2011,9,0.8888888888888888,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.1111111111111111
2012,8,0.625,0.375,0.25,0.0,0.0
2013,80,1.15,0.5125,0.3875,0.15,0.1
2014,512,0.89453125,0.41015625,0.291015625,0.109375,0.083984375
2015,483,0.8716356107660456,0.41200828157349895,0.2774327122153209,0.10766045548654245,0.07453416149068323
2016,642,0.8473520249221184,0.37383177570093457,0.2772585669781931,0.10747663551401869,0.08878504672897196
2017,639,0.651017214397496,0.2863849765258216,0.21752738654147105,0.081377151799687,0.06572769953051644
2018,627,0.6267942583732058,0.26953748006379585,0.21371610845295055,0.07974481658692185,0.06379585326953748
2019,41,1.1219512195121952,0.4146341463414634,0.36585365853658536,0.21951219512195122,0.12195121951219512
2020,49,0.7551020408163265,0.32653061224489793,0.24489795918367346,0.10204081632653061,0.08163265306122448
2021,162,0.7345679012345679,0.2962962962962963,0.2345679012345679,0.1111111111111111,0.09259259259259259
2022,1124,0.8879003558718861,0.34608540925266906,0.2802491103202847,0.15035587188612098,0.11120996441281139
2023,1360,0.8169117647058823,0.31470588235294117,0.2595588235294118,0.13823529411764707,0.10441176470588236
2024,1849,0.8583017847485127,0.3196322336398053,0.2742022714981071,0.1476473769605192,0.11681990265008113
2025,2085,0.8196642685851319,0.3011990407673861,0.2628297362110312,0.14196642685851318,0.11366906474820145
2026,1329,1.069977426636569,0.37772761474793076,0.3340857787810384,0.1986455981941309,0.1595184349134688

