canonical_chain_id,canonical_chain_name,year,final_risk_score,final_score_status,paper_ready,n_documents,n_unique_item10_versions,sources,final_forms,providers,purposes,evidence_quote,full_item10_text_available
U_074ee73a,"""Affordable Car Rental"" and ""Sensible Car Rental""",2024,0,CONSENSUS,1,1,1,NASAA_NON_SBA,no_financing_involvement,none,not_applicable,"We do not offer you direct or indirect financing. We do not guarantee your notes, lease or obligation. || We and our affiliates have no past practice or future intent of selling, assigning or discounting franchisees' financing arrangements to a third party. || We and our affiliates do not receive any direct or indirect payments or other consideration from any person for the placement of financing with the lender.",0
U_074ee73a,"""Affordable Car Rental"" and ""Sensible Car Rental""",2025,0,CONSENSUS,1,1,1,NASAA_NON_SBA,no_financing_involvement,none,not_applicable,"We do not offer you direct or indirect financing. We do not guarantee your notes, lease or obligation. || We and our affiliates have no past practice or future intent of selling, assigning or discounting franchisees' financing arrangements to a third party. || We and our affiliates do not receive any direct or indirect payments or other consideration from any person for the placement of financing with the lender.",0
U_75a60ca4,"""HomeTowne Studios by Red Roof"", ""HomeTowne Studios & Suites"", ""HomeTown Inn"", ""HomeTowne Inn""",2023,0,CONSENSUS,1,1,1,NASAA_NON_SBA,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financing to franchisees. We will not guarantee your note, lease, or other obligation.",1
U_75a60ca4,"""HomeTowne Studios by Red Roof"", ""HomeTowne Studios & Suites"", ""HomeTown Inn"", ""HomeTowne Inn""",2024,0,CONSENSUS,1,1,1,NASAA_NON_SBA,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financing to franchisees. We will not guarantee your note, lease, or other obligation.",1
U_75a60ca4,"""HomeTowne Studios by Red Roof"", ""HomeTowne Studios & Suites"", ""HomeTown Inn"", ""HomeTowne Inn""",2025,0,CONSENSUS,1,1,1,NASAA_NON_SBA,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financing to franchisees. We will not guarantee your note, lease, or other obligation.",1
U_75a60ca4,"""HomeTowne Studios by Red Roof"", ""HomeTowne Studios & Suites"", ""HomeTown Inn"", ""HomeTowne Inn""",2026,0,CONSENSUS,1,1,1,NASAA_NON_SBA,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financing to franchisees. We will not guarantee your note, lease, or other obligation.",1
U_aad9adba,04 KeyGlee Franchising - VA,2023,2,CONSENSUS,1,1,1,NASAA_NON_SBA,initial_fee_installment,franchisor | affiliate,fee,"Franchisor may offer to finance the payment of a portion of the initial franchise fee || Item Financed       Initial Franchise Fee || Source of Financing   Franchisor or Affiliate || We do not guarantee your note, lease or obligation.",0
U_47621ef6,1 Percent Lists,2023,0,CONSENSUS,1,1,1,NASAA_NON_SBA,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financing. || We do not guarantee your notes, leases or obligations.",0
U_47621ef6,1 Percent Lists,2024,0,CONSENSUS,1,2,1,MN | NASAA_NON_SBA,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financing. || We do not guarantee your notes, leases or obligations.",1
U_47621ef6,1 Percent Lists,2025,,UNRESOLVED_SCORE_CONFLICT,0,4,2,MN | NASAA_NON_SBA | WI,initial_fee_installment | no_financing_involvement,franchisor | none,fee | not_applicable,"The only financing that we offer is for the initial franchise fee. || the entire initial franchise fee paid over a period of two years, with the periodic payments being equal to 5% of your Gross Sales Commissions paid at the closing of each transaction until paid in full, with any unpaid balance being due in full in a lump sum at the end of the two-year period.",1
