canonical_chain_id,canonical_chain_name,latest_paper_ready_year,final_risk_score,any_support,risk_bearing_ge2,material_risk_ge3,direct_funded_eq4,final_forms,providers,purposes,evidence_quote
U_074ee73a,"""Affordable Car Rental"" and ""Sensible Car Rental""",2025,0,0,0,0,0,no_financing_involvement,none,not_applicable,"We do not offer you direct or indirect financing. We do not guarantee your notes, lease or obligation. || We and our affiliates have no past practice or future intent of selling, assigning or discounting franchisees' financing arrangements to a third party. || We and our affiliates do not receive any direct or indirect payments or other consideration from any person for the placement of financing with the lender."
U_75a60ca4,"""HomeTowne Studios by Red Roof"", ""HomeTowne Studios & Suites"", ""HomeTown Inn"", ""HomeTowne Inn""",2026,0,0,0,0,0,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financing to franchisees. We will not guarantee your note, lease, or other obligation."
U_aad9adba,04 KeyGlee Franchising - VA,2023,2,1,1,0,0,initial_fee_installment,franchisor | affiliate,fee,"Franchisor may offer to finance the payment of a portion of the initial franchise fee || Item Financed       Initial Franchise Fee || Source of Financing   Franchisor or Affiliate || We do not guarantee your note, lease or obligation."
U_47621ef6,1 Percent Lists,2026,2,1,1,0,0,initial_fee_installment,franchisor,fee,"The only financing that we offer is for the initial franchise fee. || we may offer you the opportunity to pay the entire initial franchise fee paid over a period of two years, with the periodic payments being equal to 5% of your Gross Sales Commissions paid at the closing of each transaction until paid in full || We do not guarantee your notes, leases or obligations to third parties."
U_46c577ea,1% Lists,2026,2,1,1,0,0,initial_fee_installment,franchisor,fee,"The only financing that we offer is for the initial franchise fee. || we may offer you the opportunity to pay the entire initial franchise fee paid over a period of two years, with the periodic payments being equal to 5% of your Gross Sales Commissions paid at the closing of each transaction until paid in full || We do not guarantee your notes, leases or obligations to third parties."
S0001,1-800 Dryclean,2014,0,0,0,0,0,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financing || We do not guarantee your notes, vehicle payments, or other obligations || We do not receive any direct or indirect payment for placing financing with any third party"
S2022,1-800 Packouts,2026,0,0,0,0,0,no_financing_involvement,none,not_applicable,"We do not offer direct or indirect financing nor do we guarantee your note, lease or other obligations."
S0002,1-800 Water Damage,2026,2,1,1,0,0,sba_access_facilitation | seller_fee_financing,franchisor | third_party,fee | other,"we may offer you financing for a portion of the Initial Franchise Fee if you meet our qualifications || We provide certain information and assist in facilitating SBA loans including 7(a) and 504 loans. || We and our affiliates have no past practice or future intent of selling, assigning or discounting franchisees’ financing arrangements to a third party, although we reserve the right to do so in the future."
S0004,1-800-Flowers.com,2025,4,1,1,1,1,direct_establishment_cost_loan | seller_store_purchase_financing | seller_fee_financing | franchisor_or_affiliate_sublease,franchisor | affiliate,store_acquisition | construction_conversion | fee | lease_site,"If you are purchasing a company-owned 1-800-Flowers Shop, a portion of the purchase price may be financed by the seller. || we may offer you the opportunity to finance up to $30,000 with us, which may be used for build-out of your Franchised Unit and/or purchase and installation of signage. || We may also offer you the opportunity to finance up to an additional $30,000 of the Successor Franchise Fee || In some cases, you will sublease the Franchised Location from us or an affiliate under a Sublease. || We do not currently sell, assign or discount to a third party any part of the financing arrangement we make with you, but we have the right to do so in the future."
S0005,1-800-GOT-JUNK?,2025,2,1,1,0,0,initial_fee_installment | lender_referral,franchisor | third_party,fee | other,"we may, in our sole discretion, allow the initial franchise fee with respect to some of the subterritories to be made in equal monthly installments without interest || We do not intend to sell, assign, or discount to a third party all or any part of the financial arrangement. || While not obligated to do so, we may, in our discretion, introduce you to third party financing sources that may, if you meet their qualifications, supply financing options for items required as part of the initial investment."
