year,n_brand_years,mean_risk_score,any_support_share,risk_bearing_share,material_risk_share,direct_funded_share
2008,1,0.0,0.0,0.0,0.0,0.0
2010,1,0.0,0.0,0.0,0.0,0.0
2011,9,0.8888888888888888,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.1111111111111111
2012,10,0.7,0.4,0.3,0.0,0.0
2013,80,1.15,0.5125,0.3875,0.15,0.1
2014,515,0.8990291262135922,0.4116504854368932,0.2912621359223301,0.11067961165048544,0.0854368932038835
2015,483,0.8716356107660456,0.41200828157349895,0.2774327122153209,0.10766045548654245,0.07453416149068323
2016,644,0.8478260869565217,0.37422360248447206,0.2779503105590062,0.10714285714285714,0.08850931677018634
2017,640,0.65,0.2859375,0.2171875,0.08125,0.065625
2018,630,0.6349206349206349,0.273015873015873,0.21746031746031746,0.08095238095238096,0.06349206349206349
2019,42,1.0952380952380953,0.40476190476190477,0.35714285714285715,0.21428571428571427,0.11904761904761904
2020,51,0.803921568627451,0.35294117647058826,0.27450980392156865,0.09803921568627451,0.0784313725490196
2021,228,0.8903508771929824,0.3684210526315789,0.3026315789473684,0.11842105263157894,0.10087719298245613
2022,1518,0.9367588932806324,0.3570487483530962,0.28919631093544135,0.1627140974967062,0.12779973649538867
2023,1883,0.8385554965480616,0.3138608603292618,0.26075411577270313,0.14657461497610197,0.11736590546999469
2024,2302,0.8679409209383145,0.317115551694179,0.2736750651607298,0.1520417028670721,0.12510860121633363
2025,2510,0.8310756972111554,0.30278884462151395,0.2649402390438247,0.1450199203187251,0.11832669322709163
2026,1577,1.0608750792644261,0.37285986049461,0.3303741280913126,0.19720989220038046,0.160431198478123
