canonical_chain_id,canonical_chain_name,from_year,to_year,from_score,to_score,score_change,change_type,from_forms,to_forms,from_providers,to_providers,from_evidence_quote,to_evidence_quote
U_47621ef6,1 Percent Lists,2024,2025,0,2,2,0 → support,no_financing_involvement,initial_fee_installment,none,franchisor,"We do not offer direct or indirect financing. || We do not guarantee your notes, leases or obligations.","The only financing that we offer is for the initial franchise fee. || the entire initial franchise fee paid over a period of two years, with the periodic payments being equal to 5% of your Gross Sales Commissions paid at the closing of each transaction until paid in full, with any unpaid balance being due in full in a lump sum at the end of the two-year period. || We do not guarantee your notes, leases or obligations to third parties."
S0002,1-800 Water Damage,2015,2016,0,2,2,0 → support,no_financing_involvement,initial_fee_installment | third_party_vehicle_financing | lender_referral | seller_fee_financing | third_party_vehicle_financing | lender_referral,none,franchisor | third_party,"We do not offer direct or indirect financing || We will not guarantee any note, leases or other obligation","we offer you financing for a portion of the Initial Franchise Fee if you meet our qualifications. || you may do so through a promissory note (the “Note”) || there is a potential source of financing for your vehicle available through Trans Lease || We also suggest third party sources for lending including, but not limited to FranFund, Benetrends and Directed Equity. || We and our affiliates have no past practice or future intent of selling, assigning or discounting franchisees’ financing arrangements to a third party, although we reserve the right to do so in the future."
S0002,1-800 Water Damage,2025,2026,0,2,2,0 → support,no_financing_involvement,sba_access_facilitation | seller_fee_financing,none,franchisor | third_party,"We do not offer direct or indirect financing. || We do not guarantee any note, lease, or obligation on your behalf.","we may offer you financing for a portion of the Initial Franchise Fee if you meet our qualifications || We provide certain information and assist in facilitating SBA loans including 7(a) and 504 loans. || We and our affiliates have no past practice or future intent of selling, assigning or discounting franchisees’ financing arrangements to a third party, although we reserve the right to do so in the future."
S0007,1-800-Radiator & A,2015,2016,4,2,-2,other decrease,affiliate_direct_loan | passive_sba_directory_access,affiliate_direct_loan | passive_sba_directory_access | promissory_note | passive_sba_directory_access | seller_fee_financing | passive_sba_directory_access,affiliate | third_party,affiliate | third_party,"our affiliates, in their sole discretion, may finance a portion of the initial costs and fees related to your purchase of the 1-800-RADIATOR & A/C® franchise || Item Financed: All or a portion of the purchase price || Source of Financing: Our affiliate || 1-800-RADIATOR & A/C® franchisees are eligible for expedited and streamlined SBA loan processing through the SBA's Franchise Registry Program","our affiliates, in their sole discretion,, may finance a portion of the initial costs and fees related to your purchase of the 1-800-RADIATOR & A/C® franchise || our affiliate may elect to finance all or a portion of the purchase price for the franchise if you meet certain credit requirements || neither we nor any affiliate offers direct or indirect financing to you, guarantees any note, lease or other obligation of yours, has any practice or intent to sell, assign or discount to a third party all or any part of any financing arrangement of yours || franchisees are eligible for expedited and streamlined SBA loan processing through the SBA’s Franchise Registry Program"
S0007,1-800-Radiator & A,2024,2025,2,4,2,other increase,seller_fee_financing,affiliate_direct_loan,affiliate,affiliate,"Although we do not offer any financing, our affiliates, in their sole discretion, may finance a portion of the initial costs and fees related to your purchase of the 1-800-RADIATOR & A/C® franchise || Source of Financing Our affiliate || In its sole discretion, our affiliate may elect to finance all or a portion of the purchase price for the franchise || Except as described above, neither we nor any affiliate ... has any practice or intent to sell, assign or discount to a third party all or any part of any financing arrangement of yours","Although we do not offer any financing, our affiliates, in their sole discretion, may finance a portion of the initial costs and fees related to your purchase of the 1-800-RADIATOR & A/C® franchise if you meet certain credit requirements. || Source of Financing: Our affiliate || Up to the entire purchase price"
S3342,3 Natives,2023,2024,0,3,3,0 → support,no_financing_involvement,lease_guarantee,none,affiliate,We do not offer any direct or indirect financing. || We do not guarantee your loan or obligations.,"If you request and we agree, our parent company, 3 Natives Holdco, may provide a lease guarantee to a lessor of a 3 Natives franchised business. || We do not offer any direct or indirect financing."
S0024,9Round,2021,2022,0,2,2,0 → support,no_financing_involvement,lender_referral | seller_inventory_or_equipment_credit | seller_fee_financing | promissory_note | lender_referral,none,franchisor | third_party,"As of the date of this disclosure document we do not offer direct or indirect financing and we do not guarantee your note, lease or obligation.","We may agree to directly finance a certain portion or portions of your franchise from us, subject to credit approval and meeting our then-current financing criteria. || We do not intend to sell, assign, or discount to a third party all or part of the financing arrangement. || In addition to the programs mentioned, we may periodically arrange with third party finance companies or banks to make financing programs available to franchisees. || Financing will be limited to equipment and inventory where we are the only approved supplier for the Opening Equipment and Inventory Package for your new Center."
S0024,9Round,2023,2024,2,1,-1,other decrease,seller_asset_credit | third_party_financing_arrangement_assistance | lender_referral_compensation | seller_inventory_or_equipment_credit | installment_payment_plan | lender_referral_compensation,third_party_financing_arrangement_assistance | lender_referral_compensation | third_party_lender_introduction | lender_referral_compensation,franchisor | third_party,third_party,"We may agree to directly finance a certain portion or portions of your franchise from us, subject to credit approval and meeting our then-current financing criteria. || We do not intend to sell, assign, or discount to a third party all or part of the financing arrangement. || These arrangements ordinarily involve no more than arranging to put franchisees in contact with sources of financing available to individual franchisees. || Guidant will pay us a referral fee of $1,000. || Except as described above, as of the date of this disclosure document we do not offer direct or indirect financing and we do not guarantee your note, lease, or obligation.","As of the date of this disclosure document we do not offer direct or indirect financing and we do not guarantee your note, lease or obligation. || These arrangements ordinarily involve no more than arranging to put franchisees in contact with sources of financing available to individual franchisees. || Guidant will pay us a referral fee of $1,000."
U_53d5529f,"ABCSP, LLC",2015,2016,1,0,-1,support → 0,lender_referral,no_financing_involvement,third_party,none,"We do not offer direct or indirect financing We do not guarantee your note, lease or any other obligation || We may refer you to third-party providers of financmg at your request","We do not offer direct or indirect financing || We do not guarantee your note, lease or any other obligation"
S0069,"ActionCOACH OneCo, LLC",2025,2026,0,2,2,0 → support,no_financing_involvement,discretionary_financial_assistance_instrument_unspecified,none,franchisor,"Neither we nor ACNA nor its affiliates offer any direct or indirect financing to you. || We will not guarantee any note, lease, or other obligation you may make to others.","In limited and exceptional circumstances, we may, at our sole discretion, offer financing or other payment arrangements to qualified candidates. || We will not guarantee any note, lease, or other obligation you may make to others."
S5433,AFC Franchise Corp,2015,2016,0,2,2,0 → support,no_financing_involvement,no_financing_involvement | seller_inventory_or_equipment_credit,none,franchisor | none,"We do not offer any direct or indirect financing || We do not guarantee your notes, leases, or obligations","If you meet our cntena, we may offer you the option to finance up to $#021,000 of initial inventory purchases from us or our afTiliates the AEFC wholesale order site. || The financed amount is payable over 12 months with interest at 3 5% above the prime rate of interest || We do not intend to sell, assign or discount to a third party all or any part of a financing arrangement we provide to you."
S5433,AFC Franchise Corp,2016,2017,2,0,-2,support → 0,no_financing_involvement | seller_inventory_or_equipment_credit,no_financing_involvement,franchisor | none,none,"If you meet our cntena, we may offer you the option to finance up to $#021,000 of initial inventory purchases from us or our afTiliates the AEFC wholesale order site. || The financed amount is payable over 12 months with interest at 3 5% above the prime rate of interest || We do not intend to sell, assign or discount to a third party all or any part of a financing arrangement we provide to you.","We do not offer any direct or indirect financing || We do not guarantee your notes, leases, or obligations"
U_4f47d9be,"Agile Pursuits Franchising, Inc",2016,2017,1,0,-1,support → 0,passive_sba_directory_access,no_financing_involvement,third_party,none,"We do not offer direct or indirect financing || We do not guarantee your note, lease, or obligation || We have registered our franchise documents on the United States Small Business Administration’s (“SBA”) Franchise Registry listing of pre-screened franchise offerings","Neither we nor any agent or affiliate offers direct or indirect financing to you, guarantees any note, lease or obligation of yours, or have any practice or intent to sell, assign, or discount to a third party all or part of any financing arrangement of yours."
S5747,Alair Homes,2015,2016,2,0,-2,support → 0,initial_fee_installment | seller_fee_financing | seller_fee_installment,initial_fee_deferral | no_financing_involvement | seller_fee_installment,franchisor,franchisor | none,"We will finance up to 100% of the Second RD Franchise Fee Payment, which is due on the RD Commencement Date || The financed portion will bear interest at the rate of 14% per annum, compounded annually, beginning on the RD Commencement Date, and will be payable in 60 equal monthly installments || It is not our practice or intent to sell, assign or discount to a third party all or part of the Promissory Note or your obligations thereunder, however, we reserve the right to do so || Except as stated above, we do not, directly or indirectly, offer you financing or guarantee any of your obligations","We will finance up-to 50% of your initial franchise fee of $53,500, or $26,750 || It is not our practice or intent to sell, assign or discount to a third party all or part of the Promissory Note or your obligations thereunder, however, we reserve the right to do so"
